number	type	latency	urevent
1.000000	1	4569.000000	1.000000
2.000000	2	6743.000000	2.000000
3.000000	3	8755.000000	3.000000
4.000000	4	10812.000000	4.000000
5.000000	5	12864.000000	5.000000
6.000000	6	14714.000000	6.000000
7.000000	7	16659.000000	7.000000
8.000000	8	18786.000000	8.000000
9.000000	9	20943.000000	9.000000
10.000000	10	23047.000000	10.000000
11.000000	11	25087.000000	11.000000
12.000000	12	27013.000000	12.000000
13.000000	13	29151.000000	13.000000
14.000000	14	31146.000000	14.000000
15.000000	15	33148.000000	15.000000
16.000000	16	35028.000000	16.000000
17.000000	17	36992.000000	17.000000
18.000000	18	39098.000000	18.000000
19.000000	19	40995.000000	19.000000
20.000000	20	43023.000000	20.000000
21.000000	21	44864.000000	21.000000
22.000000	22	46982.000000	22.000000
23.000000	23	49111.000000	23.000000
24.000000	24	50948.000000	24.000000
25.000000	25	52859.000000	25.000000
26.000000	26	54750.000000	26.000000
27.000000	27	56821.000000	27.000000
28.000000	28	59014.000000	28.000000
29.000000	29	61121.000000	29.000000
30.000000	30	63248.000000	30.000000
31.000000	31	65243.000000	31.000000
32.000000	32	67404.000000	32.000000
33.000000	33	69235.000000	33.000000
34.000000	34	71376.000000	34.000000
35.000000	35	73523.000000	35.000000
36.000000	36	75499.000000	36.000000
37.000000	37	77472.000000	37.000000
38.000000	38	79563.000000	38.000000
39.000000	39	81754.000000	39.000000
40.000000	40	83577.000000	40.000000
41.000000	41	85498.000000	41.000000
42.000000	42	87328.000000	42.000000
43.000000	43	89234.000000	43.000000
44.000000	44	91338.000000	44.000000
45.000000	45	93252.000000	45.000000
46.000000	46	95309.000000	46.000000
47.000000	47	97435.000000	47.000000
48.000000	48	99559.000000	48.000000
49.000000	49	101540.000000	49.000000
50.000000	50	103481.000000	50.000000
51.000000	51	105311.000000	51.000000
52.000000	52	107195.000000	52.000000
53.000000	53	109182.000000	53.000000
54.000000	54	111180.000000	54.000000
55.000000	55	113341.000000	55.000000
56.000000	56	115502.000000	56.000000
57.000000	57	117381.000000	57.000000
58.000000	58	119190.000000	58.000000
59.000000	59	121054.000000	59.000000
60.000000	60	123155.000000	60.000000
61.000000	61	125157.000000	61.000000
62.000000	62	127044.000000	62.000000
63.000000	63	129012.000000	63.000000
64.000000	64	131193.000000	64.000000
65.000000	65	133218.000000	65.000000
66.000000	66	135170.000000	66.000000
67.000000	67	137133.000000	67.000000
68.000000	68	139008.000000	68.000000
69.000000	69	141128.000000	69.000000
70.000000	70	143013.000000	70.000000
71.000000	71	144916.000000	71.000000
72.000000	72	147039.000000	72.000000
73.000000	73	148942.000000	73.000000
74.000000	74	150762.000000	74.000000
75.000000	75	152862.000000	75.000000
76.000000	76	155068.000000	76.000000
77.000000	77	156948.000000	77.000000
78.000000	78	158814.000000	78.000000
79.000000	79	160637.000000	79.000000
80.000000	80	162636.000000	80.000000
81.000000	81	164825.000000	81.000000
82.000000	82	166912.000000	82.000000
83.000000	83	168992.000000	83.000000
84.000000	84	170875.000000	84.000000
85.000000	85	172926.000000	85.000000
86.000000	86	174799.000000	86.000000
87.000000	87	176902.000000	87.000000
88.000000	88	178780.000000	88.000000
89.000000	89	180902.000000	89.000000
90.000000	90	182763.000000	90.000000
91.000000	91	184744.000000	91.000000
92.000000	92	186828.000000	92.000000
93.000000	93	188931.000000	93.000000
94.000000	94	190790.000000	94.000000
95.000000	95	192889.000000	95.000000
96.000000	96	195043.000000	96.000000
97.000000	97	197128.000000	97.000000
98.000000	98	199131.000000	98.000000
99.000000	99	201151.000000	99.000000
100.000000	100	203278.000000	100.000000
