number	type	latency	urevent
1.000000	1	2361.000000	1.000000
2.000000	2	4164.000000	2.000000
3.000000	boundary	5401.000000	3.000000
4.000000	3	5977.000000	4.000000
5.000000	4	8127.000000	5.000000
6.000000	5	10011.000000	6.000000
7.000000	6	11922.000000	7.000000
8.000000	7	13992.000000	8.000000
9.000000	8	15922.000000	9.000000
10.000000	9	17787.000000	10.000000
11.000000	10	19738.000000	11.000000
12.000000	11	21710.000000	12.000000
13.000000	boundary	23041.000000	13.000000
14.000000	12	23544.000000	14.000000
15.000000	13	25543.000000	15.000000
16.000000	14	27381.000000	16.000000
17.000000	15	29528.000000	17.000000
18.000000	16	31360.000000	18.000000
19.000000	17	33287.000000	19.000000
20.000000	18	35462.000000	20.000000
21.000000	19	37419.000000	21.000000
22.000000	20	39537.000000	22.000000
23.000000	21	41479.000000	23.000000
24.000000	22	43568.000000	24.000000
25.000000	23	45715.000000	25.000000
26.000000	24	47812.000000	26.000000
27.000000	25	49743.000000	27.000000
28.000000	26	51618.000000	28.000000
29.000000	27	53558.000000	29.000000
30.000000	28	55554.000000	30.000000
31.000000	29	57462.000000	31.000000
32.000000	30	59602.000000	32.000000
33.000000	31	61523.000000	33.000000
34.000000	32	63525.000000	34.000000
35.000000	33	65394.000000	35.000000
36.000000	34	67556.000000	36.000000
37.000000	35	69480.000000	37.000000
38.000000	36	71600.000000	38.000000
39.000000	37	73800.000000	39.000000
40.000000	38	75807.000000	40.000000
41.000000	39	77972.000000	41.000000
42.000000	40	80112.000000	42.000000
43.000000	41	81930.000000	43.000000
44.000000	42	83796.000000	44.000000
45.000000	43	85663.000000	45.000000
46.000000	44	87672.000000	46.000000
47.000000	45	89490.000000	47.000000
48.000000	46	91538.000000	48.000000
49.000000	47	93350.000000	49.000000
50.000000	48	95469.000000	50.000000
51.000000	49	97539.000000	51.000000
52.000000	50	99658.000000	52.000000
53.000000	51	101751.000000	53.000000
54.000000	52	103783.000000	54.000000
55.000000	53	105674.000000	55.000000
56.000000	54	107756.000000	56.000000
57.000000	55	109802.000000	57.000000
58.000000	56	111995.000000	58.000000
59.000000	57	114061.000000	59.000000
60.000000	58	116270.000000	60.000000
61.000000	59	118177.000000	61.000000
62.000000	60	120257.000000	62.000000
63.000000	61	122185.000000	63.000000
64.000000	62	124028.000000	64.000000
65.000000	63	126146.000000	65.000000
66.000000	64	128156.000000	66.000000
67.000000	65	130322.000000	67.000000
68.000000	66	132335.000000	68.000000
69.000000	67	134373.000000	69.000000
70.000000	68	136563.000000	70.000000
71.000000	69	138646.000000	71.000000
72.000000	70	140592.000000	72.000000
73.000000	71	142405.000000	73.000000
74.000000	72	144497.000000	74.000000
75.000000	73	146702.000000	75.000000
76.000000	74	148821.000000	76.000000
77.000000	75	150929.000000	77.000000
78.000000	76	152818.000000	78.000000
79.000000	77	154685.000000	79.000000
80.000000	78	156860.000000	80.000000
81.000000	79	158984.000000	81.000000
82.000000	80	161028.000000	82.000000
83.000000	81	163183.000000	83.000000
84.000000	82	165268.000000	84.000000
85.000000	83	167193.000000	85.000000
86.000000	84	169040.000000	86.000000
87.000000	85	171100.000000	87.000000
88.000000	86	173023.000000	88.000000
89.000000	87	175183.000000	89.000000
90.000000	88	177057.000000	90.000000
91.000000	89	178976.000000	91.000000
92.000000	90	181003.000000	92.000000
93.000000	91	183198.000000	93.000000
94.000000	92	185076.000000	94.000000
95.000000	93	186949.000000	95.000000
96.000000	94	188870.000000	96.000000
97.000000	95	190750.000000	97.000000
98.000000	96	192790.000000	98.000000
99.000000	97	194799.000000	99.000000
100.000000	98	196724.000000	100.000000
101.000000	99	198595.000000	101.000000
102.000000	100	200648.000000	102.000000
